,year,country,province,region_1,lat,lon,location,avg_temp,min_temp,max_temp
5956,2009.0,France,Bordeaux,Sauternes,44.841225,-0.5800364,1,18.023364485981308,1.5,36.2
5959,2007.0,Greece,Peloponnese,,37.36332825,22.239537343995494,1,,,
5993,2014.0,Spain,Catalonia,Terra Alta,41.390205,2.154007,1,20.931775700934576,9.4,33.2
5996,2014.0,Moldova,Moldova,,46.957075,28.7591881,1,17.27102803738318,-3.0,37.0
5997,2012.0,US,California,Green Valley,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
6002,2013.0,Italy,Veneto,Veronese,45.666668,12.25,1,19.66822429906542,4.0,38.2
6005,2013.0,Uruguay,Uruguay,,-32.5049394,-53.5041115,0,,,
6006,2014.0,US,California,Spring Mountain District,36.778259,-119.417931,1,25.482710280373833,6.1,43.3
6008,2013.0,Morocco,Zenata,,33.60920415,-7.4329080578919005,1,21.05140186915888,6.7,37.5
6015,2015.0,Italy,Veneto,Valpolicella Classico Superiore,45.666668,12.25,1,20.18411214953271,-0.8,39.4
6016,2015.0,US,California,Mendocino Ridge,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
6017,2016.0,US,California,Ballard Canyon,36.778259,-119.417931,1,23.931775700934576,7.8,42.8
6028,1998.0,US,Oregon,Willamette Valley,45.4206749,-122.670649,1,16.935981308411215,1.7,38.3
6033,1995.0,US,California,Sonoma County,36.778259,-119.417931,1,22.483962264150946,3.3,42.2
6034,1998.0,US,Oregon,Rogue Valley,45.4206749,-122.670649,1,16.935981308411215,1.7,38.3
6035,1998.0,Australia,South Australia,Limestone Coast,-34.7411213,138.6564373,0,,,
6036,1997.0,US,California,Sonoma Valley,36.778259,-119.417931,1,23.298536585365852,3.3,42.2
6037,1994.0,US,California,Sonoma Valley,36.778259,-119.417931,1,23.125352112676055,5.6,41.1
6043,1994.0,US,California,Anderson Valley,36.778259,-119.417931,1,23.125352112676055,5.6,41.1
6044,1998.0,France,Bordeaux,Bordeaux Blanc,44.841225,-0.5800364,1,17.26588785046729,2.1,38.8
6047,1998.0,US,Oregon,Umpqua Valley,45.4206749,-122.670649,1,16.935981308411215,1.7,38.3
6048,1995.0,US,California,Anderson Valley,36.778259,-119.417931,1,22.483962264150946,3.3,42.2
6049,1998.0,Australia,South Australia,South Australia,-34.7411213,138.6564373,0,,,
6050,1992.0,US,California,Carneros,36.778259,-119.417931,1,24.35492957746479,6.7,42.2
6052,1997.0,US,California,Mendocino County,36.778259,-119.417931,1,23.298536585365852,3.3,42.2
6070,2012.0,US,California,Fair Play,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
6099,2014.0,Portugal,Minho,,41.6347151,-8.1425725,1,,,
6101,2011.0,Italy,Sicily & Sardinia,Carignano del Sulcis,39.373062,9.157212,1,21.28411214953271,5.0,37.2
6111,2012.0,US,California,Chiles Valley,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
6112,2011.0,Italy,Sicily & Sardinia,Cannonau di Sardegna,39.373062,9.157212,1,21.28411214953271,5.0,37.2
6129,2011.0,France,Champagne,Champagne,48.026628,0.333235,1,16.826767676767677,-0.4,35.7
6133,2011.0,Portugal,Alentejo,,38.0551003,-7.8605799,1,21.075700934579444,6.7,39.0
6147,2006.0,US,California,Mendocino County,36.778259,-119.417931,1,23.44716981132075,5.6,45.0
6152,2000.0,France,Champagne,Champagne,48.026628,0.333235,1,15.718333333333332,0.8,33.7
6154,2004.0,Australia,Victoria,Pyrenees,-21.2309116,148.9741517,0,,,
6160,2005.0,US,California,High Valley,36.778259,-119.417931,1,22.922535211267604,4.4,42.8
6177,2015.0,US,New York,Long Island,40.7127281,-74.0060152,1,20.457476635514016,-0.5,36.7
6179,2016.0,France,Beaujolais,Saint-Amour,46.1186123,4.6156707,1,16.61904761904762,1.0,34.3
6183,2016.0,Spain,Galicia,Rías Baixas,42.8804219,-8.5458608,1,15.695794392523363,-0.9,39.0
6189,2016.0,US,New York,Hudson River Region,40.7127281,-74.0060152,1,20.235046728971962,-3.2,37.2
6198,2016.0,US,New York,Seneca Lake,40.7127281,-74.0060152,1,20.235046728971962,-3.2,37.2
6201,2011.0,US,Colorado,Grand Valley,39.579155,-104.8769227,1,16.513084112149535,-8.3,36.1
6208,2013.0,US,Colorado,Grand Valley,39.579155,-104.8769227,1,15.735514018691589,-16.1,36.1
6210,2014.0,US,Oregon,Columbia Valley (OR),45.4206749,-122.670649,1,17.52710280373832,3.9,37.2
6220,2010.0,US,Colorado,Grand Valley,39.579155,-104.8769227,1,16.74719626168224,-3.9,35.0
